;1A - Bouteille;1A - Pression;1A - Canette;1A - Café;2A - Bouteille;2A - Pression;2A - Canette;2A - Café;3A - Bouteille;3A - Pression;3A - Canette;3A - Café;Kfet - Bouteille;Kfet - Pression;Kfet - Canette;Kfet - Café;Non Kfet - Bouteille;Non Kfet - Pression;Non Kfet - Canette;Non Kfet - Café
févr-14;1,725;0,225;0,45;0;6,076923077;3,230769231;0,6;0;0,333333333;0;0,5;0;16,25;13;1,5;0;1,210084034;0,100840336;0,378151261;0
mars-14;3,375;4,2;0,45;0;7,369230769;3,461538462;2,353846154;0,045;0,833333333;3,166666667;0,666666667;0;23,5;15;9,5;0,24;1,764705882;2,420168067;0,605042017;0
avr-14;4,95;1,8;1,65;4,425;9,184615385;2,215384615;3,738461538;3,6;2;1,666666667;1,5;3;21,5;17,25;14,75;6,24;2,974789916;1,512605042;1,134453782;2,697
mai-14;1,95;0,675;0,825;2,475;5,861538462;1,061538462;2,076923077;2,07;1;0,833333333;0,166666667;3;18,5;15,8;9,25;3,999;1,058823529;0,554621849;0,352941176;1,914
sept-14;2,590909091;1,363636364;1,772727273;4,681818182;3;0,828947368;3,513157895;5,644736842;1,081395349;0,558139535;0,488372093;0,697674419;16,125;1,875;15,75;3,375;1,324675325;0,74025974;1,116883117;3,103896104
oct-14;3,136363636;3,318181818;3,590909091;5,818181818;3,907894737;1,460526316;4,697368421;5,684210526;3,837209302;1,360465116;1,744186047;5,127906977;12;1,125;12,375;2,25;2,688311688;1,662337662;2,376623377;5,025974026
nov-14;3,045454545;3;1,909090909;4,818181818;3,473684211;2,052631579;2,644736842;5,171052632;5,162790698;1,186046512;1,186046512;2,441860465;9,75;1,5;11,25;0,75;3,116883117;1,701298701;1,298701299;3,727272727
déc-14;2,181818182;0,954545455;1,318181818;3,954545455;2,210526316;0,710526316;2,881578947;3,789473684;2,965116279;0,802325581;0,837209302;1,813953488;4,125;0,75;9;0,75;2,038961039;0,805194805;1,493506494;2,831168831
janv-15;3,272727273;3,454545455;1,136363636;4,136363636;2,723684211;1,302631579;1,657894737;2,25;3;1,709302326;0,662790698;1,813953488;6;1,875;3,75;0,75;2,311688312;1,506493506;0,987012987;2,415584416
févr-15;3,272727273;3,090909091;1,227272727;2,545454545;1,855263158;0,671052632;0,947368421;1,460526316;3,209302326;1,011627907;0,941860465;1,674418605;2,25;3;3;0;2,103896104;1,012987013;0,818181818;1,74025974
mars-15;2,227272727;0,727272727;0,318181818;1,409090909;0,947368421;0,315789474;0,355263158;0,552631579;2,023255814;0,488372093;0,244186047;0,627906977;1,5;0,75;1,125;0;1,337662338;0,337662338;0,272727273;0,753246753
avr-15;5,454545455;1,863636364;0,545454545;0,909090909;2,328947368;1,026315789;1,539473684;0,75;3;1,674418605;0,697674419;0,279069767;4,5;0,75;0,75;0;2,597402597;1,376623377;0,883116883;0,597402597
mai-15;5,681818182;1,818181818;5,136363636;4,454545455;2,052631579;0,75;2,763157895;1,421052632;0,174418605;0,174418605;0,593023256;0,139534884;6,75;0;6,75;0;1,662337662;0,649350649;1,532467532;1,844155844
juin-15;2,681818182;0,181818182;1,818181818;0,409090909;0,434210526;0,315789474;0,434210526;0,276315789;0,279069767;0,139534884;0,034883721;0;1,5;0;1,125;0;0,701298701;0,207792208;0,337662338;0,233766234
juil-15;1,363636364;0,090909091;0,181818182;0;0,236842105;0;0,078947368;0,039473684;0;0,034883721;0;0;0,375;0;0;0;0,311688312;0,038961039;0,051948052;0,012987013
août-15;0,318181818;0;0;0;0,118421053;0;0;0;0;0;0;0;1,5;0;0;0;0,038961039;0;0;0
sept-15;2,407407407;1,148148148;0,703703704;3;6,718309859;1,563380282;3,76056338;4,267605634;1,14084507;0,169014085;0,676056338;0,929577465;19,5;3;9,75;0,5;1,971774194;0,798387097;1,076612903;2,431451613
oct-15;6,740740741;1,851851852;0,666666667;4,666666667;10,98591549;2,788732394;3,633802817;5,281690141;8,267605634;4,098591549;1,267605634;3;24,75;4,5;10,5;0,25;5,39516129;1,391129032;1,125;3,798387097
nov-15;2,925925926;1,259259259;0,518518519;3,222222222;6,253521127;1,605633803;3,633802817;5,577464789;12,11267606;3,802816901;1,394366197;1,774647887;16,75;2,25;12,25;0,25;2,77016129;1,100806452;0,931451613;3,14516129
déc-15;4,407407407;0,703703704;0,518518519;2,925925926;7,985915493;0,802816901;2,61971831;6,971830986;19,92957746;5,338028169;0,845070423;1,436619718;20,75;2;8,25;0,5;3,89516129;0,544354839;0,75;3,423387097
janv-16;3,925925926;0,481481481;0,481481481;3,222222222;7,901408451;1,183098592;3,76056338;9;14,30985915;3,253521127;2,23943662;1,732394366;15,75;3,25;8,25;1,25;3,75;0,544354839;1,306451613;4,149193548
